substation_id,normal_event_count,hard_normal_count,high_severity_count,medium_severity_count,expanded154_fp_count,locked_compact13_fp_count,fold_selected_compact13_fp_count,max_compact_probability,normal_event_ids,hard_normal_event_ids
11,2,2,0,2,1,0,2,0.9974976379919552,35|48,35|48
6,1,1,0,1,1,0,1,0.9552885531924464,8,8
8,1,1,0,1,1,0,1,0.8767152790655133,19,19
15,2,1,0,1,1,0,1,0.8751128667776846,4|39,39
13,1,1,0,1,1,1,0,0.6884342147771397,68,68
3,2,1,0,1,1,0,1,0.6351455421292573,31|33,33
12,1,1,0,1,0,1,0,0.6036219314249135,27,27
26,1,0,0,0,0,0,0,0.5923579773257743,14,
7,1,0,0,0,0,0,0,0.533074704654068,28,
16,2,0,0,0,0,0,0,0.4007185454486115,18|30,
22,3,0,0,0,0,0,0,0.3433255827566723,42|54|59,
1,1,0,0,0,1,0,0,0.3186910186015656,21,
9,1,0,0,0,0,0,0,0.3101967365215167,2,
2,3,0,0,0,0,0,0,0.1842794308187768,17|41|56,
14,1,0,0,0,0,0,0,0.1796046687171311,61,
5,2,0,0,0,0,0,0,0.1265031739731651,22|58,
4,2,0,0,0,0,0,0,0.0902189592484801,26|46,
23,1,0,0,0,0,0,0,0.0748057239346155,55,
20,2,0,0,0,0,0,0,0.0733794044413918,25|51,
17,2,0,0,0,0,0,0,0.0636307989937201,16|50,
19,2,0,0,0,0,0,0,0.0423164365069045,12|66,
25,1,0,0,0,0,0,0,0.0243159049484372,43,
