method,split,row_count,normal_count,pre_fault_count,precision,recall,f1,false_positive_rate,roc_auc,average_precision
iforest,train,900,682,218,0.7407407407407407,0.09174311926605505,0.16326530612244897,0.010263929618768328,0.6041795582340121,0.3789913077353311
mahalanobis,train,900,682,218,0.9125,0.3348623853211009,0.4899328859060403,0.010263929618768328,0.8909642443972128,0.7514462388335996
ensemble_any,train,900,682,218,0.8522727272727273,0.3440366972477064,0.49019607843137253,0.01906158357771261,0.8396580483736448,0.6961864613122106
ensemble_strong,train,900,682,218,0.9473684210526315,0.08256880733944955,0.1518987341772152,0.001466275659824047,0.8396580483736448,0.6961864613122106
ensemble_criticality,train,900,682,218,0.5740740740740741,0.14220183486238533,0.22794117647058823,0.03372434017595308,0.8396580483736448,0.6961864613122106
iforest,validation,169,143,26,0.5,0.038461538461538464,0.07142857142857142,0.006993006993006993,0.514792899408284,0.1907354729866546
mahalanobis,validation,169,143,26,0.046875,0.11538461538461539,0.06666666666666667,0.42657342657342656,0.29962345346960734,0.21458327229143231
ensemble_any,validation,169,143,26,0.046875,0.11538461538461539,0.06666666666666667,0.42657342657342656,0.33405056481979556,0.21885614142281185
ensemble_strong,validation,169,143,26,0.5,0.038461538461538464,0.07142857142857142,0.006993006993006993,0.33405056481979556,0.21885614142281185
ensemble_criticality,validation,169,143,26,0.0,0.0,0.0,0.35664335664335667,0.33405056481979556,0.21885614142281185
iforest,holdout,183,106,77,1.0,0.2857142857142857,0.4444444444444444,0.0,0.636976231315854,0.7006099639469119
mahalanobis,holdout,183,106,77,0.6133333333333333,0.5974025974025974,0.6052631578947368,0.27358490566037735,0.6565792697868169,0.7228490916723235
ensemble_any,holdout,183,106,77,0.6133333333333333,0.5974025974025974,0.6052631578947368,0.27358490566037735,0.653761333006616,0.7219695187950443
ensemble_strong,holdout,183,106,77,1.0,0.2857142857142857,0.4444444444444444,0.0,0.653761333006616,0.7219695187950443
ensemble_criticality,holdout,183,106,77,0.5918367346938775,0.37662337662337664,0.4603174603174603,0.18867924528301888,0.653761333006616,0.7219695187950443
