owner,model_file,artifact_path,task_family,load_status,model_type,load_error
hsj,07_random_forest_baseline.joblib,01_압축해제\hsj\share_mvp\models\07_random_forest_baseline.joblib,pre_event_candidate,loaded,dict,
hsj,08_isolation_forest.joblib,01_압축해제\hsj\share_mvp\models\08_isolation_forest.joblib,anomaly,loaded,dict,
hsj,09_lightgbm_model.joblib,01_압축해제\hsj\share_mvp\models\09_lightgbm_model.joblib,pre_event_candidate,loaded,dict,
osj,isolation_forest.joblib,01_압축해제\osj\model_handoff_osj\anomaly\isolation_forest.joblib,anomaly,loaded,IsolationForest,
osj,mahalanobis_ledoitwolf.joblib,01_압축해제\osj\model_handoff_osj\anomaly\mahalanobis_ledoitwolf.joblib,anomaly,loaded,LedoitWolf,
osj,multi_window_raw_12h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_12h.joblib,anomaly,loaded,dict,
osj,multi_window_raw_1h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_1h.joblib,anomaly,loaded,dict,
osj,multi_window_raw_3h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_3h.joblib,anomaly,loaded,dict,
osj,standard_scaler.joblib,01_압축해제\osj\model_handoff_osj\anomaly\standard_scaler.joblib,anomaly,loaded,StandardScaler,
osj,leadtime_model_best.joblib,01_압축해제\osj\model_handoff_osj\leadtime\leadtime_model_best.joblib,leadtime,loaded,LGBMClassifier,
osj,risk_model_best.joblib,01_압축해제\osj\model_handoff_osj\risk\risk_model_best.joblib,risk,loaded,LGBMClassifier,
nyj,baseline_model.joblib,01_압축해제\nyj\model_handoff\m1_fault_early_detection_2026-07-01\model\baseline_model.joblib,early_detection,loaded,Pipeline,
nyj,hybrid_model.joblib,01_압축해제\nyj\model_handoff\m1_fault_early_detection_2026-07-01\model\hybrid_model.joblib,early_detection,loaded,dict,
ljy,m1_fault_gate_rf_depth3.joblib,01_압축해제\ljy\model_handoff\heatgrid_m1_front_gate_2026-07-01\front_gate\m1_fault_gate_rf_depth3.joblib,front_gate,loaded,Pipeline,
ljy2,m1_activity_gate_rf_depth3.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\front_gates\m1_activity_gate_rf_depth3.joblib,activity_gate,loaded,Pipeline,
ljy2,m1_fault_gate_rf_depth3.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\front_gates\m1_fault_gate_rf_depth3.joblib,front_gate,loaded,Pipeline,
ljy2,m1_task_gate_rf_depth3.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\front_gates\m1_task_gate_rf_depth3.joblib,task_gate,loaded,Pipeline,
ljy2,m1_m2_system_stratified_pre_event_candidate.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\pre_event_gate_m1_m2_system\m1_m2_system_stratified_pre_event_candidate.joblib,early_detection,loaded,dict,
